Query ID;Target ID;Affinity Threshold (nM);P-Value;Max Tc;Cut Sum;Z-Score;Name;Description;Query Smiles;InChi Key
96814;NPFFR1;7;3.0570000000000002e-87;0.4151;7.4504;154.8715;NPFFR1;Neuropeptide FF receptor 1 (pKi >= 7);CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N;OMNVYXHOSHNURL-UHFFFAOYSA-N
152198;CAPN1;6;6.97e-72;0.5306;41.5916;127.299;CAPN1;Calpain-1 catalytic subunit (pKi >= 6);C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC2=CN=CN2)N;XMAUFHMAAVTODF-UHFFFAOYSA-N
13783081;TYR;6;1.269e-46;0.6176;2.4275;81.9486;TYR;Tyrosinase (pKi >= 6);C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NC(CC3=CC=C(C=C3)O)C(=O)O)N;TYYLDKGBCJGJGW-UHFFFAOYSA-N
7010506;AMP1_PLAFQ;6;1.4030000000000001e-43;0.54;5.5393;76.4847;AMP1_PLAFQ;M1 family aminopeptidase (pKi >= 6);CSCCC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N;PYOHODCEOHCZBM-UHFFFAOYSA-N
52924465;LPAR3;6;4.163e-94;0.5862;14.3813;167.1978;LPAR3;Lysophosphatidic acid receptor 3 (pKi >= 6);CCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN;QCCKXFCODQEYIW-UHFFFAOYSA-N
6992643;ENPEP;7;3.357e-71;0.4545;5.5756;126.0733;ENPEP;Glutamyl aminopeptidase (pKi >= 7);C1=CC=C(C=C1)CC(C(=O)NC(CC(=O)O)C(=O)O)N;HWMGTNOVUDIKRE-UHFFFAOYSA-N
135398728;HPRT1;6;1.585e-62;0.4219;5.8747;110.5008;HPRT1;Hypoxanthine-guanine phosphoribosyltransferase (pKi >= 6);C1=NC2=C(N1C3C4C(C(O3)CO)OP(=O)(O4)O)N=C(NC2=O)N;UASRYODFRYWBRC-UHFFFAOYSA-N
5282942;CQSS;6;7.223e-64;0.4;1.8679;112.9087;CQSS;CAI-1 autoinducer sensor kinase/phosphatase CqsS (pKi >= 6);CCCCCCC(CC=CCCCCCCCC(=O)O)O;WBHHMMIMDMUBKC-UHFFFAOYSA-N
3421919;MME;6;4.616e-227;0.6744;194.3423;405.8946;MME;Neprilysin (pKi >= 6);C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC2=CC=C(C=C2)O)N;CGWAPUBOXJWXMS-UHFFFAOYSA-N
4466134;CAPN2;6;5.193e-168;0.52;48.9571;299.8789;CAPN2;Calpain-2 catalytic subunit (pKi >= 6);CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N;AUEJLPRZGVVDNU-UHFFFAOYSA-N
193508;NPR;6;1.225e-91;0.4167;13.2154;162.7659;NPR;Thermolysin (pKi >= 6);C1=CC=C(C=C1)CC(C(=O)NC(CO)C(=O)O)N;ROHDXJUFQVRDAV-UHFFFAOYSA-N
131760520;LPAR1;6;7.328e-44;0.6136;8.1933;76.991;LPAR1;Lysophosphatidic acid receptor 1 (pKi >= 6);CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCC=CCCCCC;WZQHACRHKQJTGS-UHFFFAOYSA-N
96814;ECE1;6;9.957e-117;0.5581;50.5144;207.8102;ECE1;Endothelin-converting enzyme 1 (pKi >= 6);CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N;OMNVYXHOSHNURL-UHFFFAOYSA-N
9543878;LPAR3;6;3.33e-60;0.5283;9.1676;106.3311;LPAR3;Lysophosphatidic acid receptor 3 (pKi >= 6);CCCCCC=CCC=CCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCC=CCC=CCC=CCC;BNNRAXXNNFEFAX-UHFFFAOYSA-N
53480247;LPAR3;6;4.0229999999999994e-88;0.5556;13.4609;156.4527;LPAR3;Lysophosphatidic acid receptor 3 (pKi >= 6);CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCC)COP(=O)(O)OC1C(C(C(C(C1O)OP(=O)(O)O)OP(=O)(O)O)O)O;GSQABQVBVQXYJH-UHFFFAOYSA-N
97415;GRIA1;6;2.2850000000000002e-57;0.4423;12.6703;101.2389;GRIA1;Glutamate receptor 1 (pKi >= 6);C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CN;JBCLFWXMTIKCCB-UHFFFAOYSA-N
14409732;CCKBR;6;1.342e-82;0.5065;83.6931;146.5369;CCKBR;Gastrin/cholecystokinin type B receptor (pKi >= 6);C1CC(N(C1)C(=O)C(CC2=CNC3=CC=CC=C32)N)C(=O)O;DXYQIGZZWYBXSD-UHFFFAOYSA-N
53481871;LPAR3;6;4.658e-119;0.7308;18.2183;211.9932;LPAR3;Lysophosphatidic acid receptor 3 (pKi >= 6);CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(COP(=O)(O)O)O)OC(=O)CCCCC=CCC=CCC=CCCCCC;UZDPEBGNSKBQGX-UHFFFAOYSA-N
9700;P2RY14;6;1.1769999999999999e-66;0.4516;12.1989;117.9141;P2RY14;P2Y purinoceptor 14 (pKi >= 6);CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)O)O;GYOZYWVXFNDGLU-UHFFFAOYSA-N
10445608;MME;6;4.9950000000000005e-180;0.7105;154.0771;321.4532;MME;Neprilysin (pKi >= 6);CC(C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N)O;NYQBYASWHVRESG-UHFFFAOYSA-N
4128305;HLA-A;6;5.352999999999999e-66;0.45;10.1698;116.7328;HLA-A;HLA class I histocompatibility antigen, A-3 alpha chain (pKi >= 6);CC(C)CC(C(=O)NC(CC(=O)N)C(=O)O)N;MLTRLIITQPXHBJ-UHFFFAOYSA-N
11579826;ACE2;6;4.807e-86;0.4419;12.1019;152.7231;ACE2;Angiotensin-converting enzyme 2 (pKi >= 6);C1=CC=C(C=C1)CC(=O)NC(CCC(=O)O)C(=O)O;PTSRBZOZSRJCKX-UHFFFAOYSA-N
7010506;MMP1;6;1.3549999999999999e-44;0.463;56.1886;78.3068;MMP1;Interstitial collagenase (pKi >= 6);CSCCC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N;PYOHODCEOHCZBM-UHFFFAOYSA-N
53480967;FABP3;7;5.83e-58;0.5789;1.9108;102.3038;FABP3;Fatty acid-binding protein, heart (pKi >= 7);CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(CO)CO;FHCHFKIVIFQBSC-UHFFFAOYSA-N
111299;CTSB;6;7.442e-50;0.5;29.3672;87.7509;CTSB;Cathepsin B (pKi >= 6);C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CCC(C(=O)O)N;XHHOHZPNYFQJKL-UHFFFAOYSA-N
52924901;FABP3;7;6.659e-53;0.6491;1.7417;93.2235;FABP3;Fatty acid-binding protein, heart (pKi >= 7);CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC;HNFSZKRUPTYBOQ-UHFFFAOYSA-N
4657542;MMP3;6;4.336e-49;0.5;57.5441;86.3767;MMP3;Stromelysin-1 (pKi >= 6);CNC(CC1=CC=CC=C1)C(=O)O;SCIFESDRCALIIM-UHFFFAOYSA-N
131765702;FABP3;7;5.0469999999999995e-54;0.4667;1.7792;95.235;FABP3;Fatty acid-binding protein, heart (pKi >= 7);CCCCCCCCCCCCCCCCCCOCC(COC(=O)CCCCCCCC=CCC=CCC=CCC)OC(=O)CCCCCCCCCCCCCC;QLJCFMWAJRKWEQ-UHFFFAOYSA-N
7010566;ACE2;6;1.609e-116;0.5319;16.4185;207.4359;ACE2;Angiotensin-converting enzyme 2 (pKi >= 6);CCC(C)C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N;JWBLQDDHSDGEGR-UHFFFAOYSA-N
134906;MC4R;6;5.205e-76;0.6452;112.1942;134.708;MC4R;Melanocortin receptor 4 (pKi >= 6);C1=CC=C(C=C1)CC(C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O)N;JMCOUWKXLXDERB-UHFFFAOYSA-N
53481900;FABP3;7;6.51e-50;0.5556;1.6418;87.8553;FABP3;Fatty acid-binding protein, heart (pKi >= 7);CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCC=CCC)COP(=O)(O)OCC(COP(=O)(O)O)O;YGJPTGGFWWXCQF-UHFFFAOYSA-N
131801928;LPAR3;6;2.7089999999999997e-90;0.7209;13.7949;160.3515;LPAR3;Lysophosphatidic acid receptor 3 (pKi >= 6);CCCCCCCCC=CCCCCCCCCCC(=O)OCC(COC(=O)CCCC=CCC=CCC=CCC=CCCCCC)O;KYTZSBQBUCWGRJ-UHFFFAOYSA-N
131801916;FABP3;7;2.4999999999999997e-55;0.55;1.8228;97.578;FABP3;Fatty acid-binding protein, heart (pKi >= 7);CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCC=CCC=CCC=CCC=CCC=CCCCCC)O;GHJOXQFLZDFHBM-UHFFFAOYSA-N
92829;ECE1;6;5.1629999999999994e-51;0.4314;21.998;89.8312;ECE1;Endothelin-converting enzyme 1 (pKi >= 6);C1=CC(=CC=C1CC(C(=O)O)NC(=O)CN)O;XBGGUPMXALFZOT-UHFFFAOYSA-N
323786;SSTR2;7;1.4769999999999999e-83;0.4384;20.2242;148.2574;SSTR2;Somatostatin receptor type 2 (pKi >= 7);CC(C)CC(C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)N;LYMVXFSTACVOLP-UHFFFAOYSA-N
151008;CQSS;6;6.174e-67;0.4062;1.9588;118.4169;CQSS;CAI-1 autoinducer sensor kinase/phosphatase CqsS (pKi >= 6);CCCCCCCCCCCCCCCC(=O)NCC(=O)O;KVTFEOAKFFQCCX-UHFFFAOYSA-N
7010580;OPRM1;6;9.991e-81;0.5;233.2161;143.1761;OPRM1;Mu-type opioid receptor (pKi >= 6);CC(C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N)O;IQHUITKNHOKGFC-UHFFFAOYSA-N
7016103;NPR;6;3.27e-78;0.4035;11.2663;138.6609;NPR;Thermolysin (pKi >= 6);CC(C)CC(C(=O)O)NC(=O)C(CCCCN)N;ATIPDCIQTUXABX-UHFFFAOYSA-N
7010566;HLA-DRB1;6;1.315e-94;0.4237;9.3255;168.0962;HLA-DRB1;HLA class II histocompatibility antigen, DRB1-1 beta chain (pKi >= 6);CCC(C)C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N;JWBLQDDHSDGEGR-UHFFFAOYSA-N
12599;ADCY5;6;6.866e-51;0.5;2.1918;89.609;ADCY5;Adenylate cyclase type 5 (pKi >= 6);C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O;KHWCHTKSEGGWEX-UHFFFAOYSA-N
92021849;P2RX1;7;1.8e-48;0.4026;1.4119;85.2668;P2RX1;P2X purinoceptor 1 (pKi >= 7);CC(C(C(=O)NC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)NC(=O)N)O;GYCVHQYQICRFAX-UHFFFAOYSA-N
10634;SHBG;9;4.187e-99;1.0;6.5584;176.1699;SHBG;Sex hormone-binding globulin (pKi >= 9);CC12CCC3C(C1CCC2O)CC=C4C3(CCC(C4)O)C;QADHLRWLCPCEKT-UHFFFAOYSA-N
5259590;ENPEP;6;7.488e-70;0.4314;8.4035;123.6524;ENPEP;Glutamyl aminopeptidase (pKi >= 6);CC(C)CC(C(=O)NC(CCC(=O)O)C(=O)O)N;NFNVDJGXRFEYTK-UHFFFAOYSA-N
