hmdb_id;name;inchi;ccl
HMDB0031619;2-Phenyl-2-butenal;InChI=1S/C10H10O/c1-2-9(8-11)10-6-4-3-5-7-10/h2-8H,1H3/b9-2-;Benzenoids
HMDB0240317;N-Formylphenylalanine;InChI=1S/C10H11NO3/c12-7-11-9(10(13)14)6-8-4-2-1-3-5-8/h1-5,7,9H,6H2,(H,11,12)(H,13,14)/t9-/m0/s1;Organic acids and derivatives
HMDB0029641;p-Mentha-1,3,5,8-tetraene;InChI=1S/C10H12/c1-8(2)10-6-4-9(3)5-7-10/h4-7H,1H2,2-3H3;Benzenoids
HMDB0012819;5-Hydroxykynurenine;InChI=1S/C10H12N2O4/c11-7-2-1-5(13)3-6(7)9(14)4-8(12)10(15)16/h1-3,8,13H,4,11-12H2,(H,15,16);Organic oxygen compounds
HMDB0011629;Guanosine 2',3'-cyclic phosphate;InChI=1S/C10H12N5O7P/c11-10-13-7-4(8(17)14-10)12-2-15(7)9-6-5(3(1-16)20-9)21-23(18,19)22-6/h2-3,5-6,9,16H,1H2,(H,18,19)(H3,11,13,14,17)/t3-,5-,6-,9-/m1/s1;Sphingolipids
HMDB0034121;1-Methoxy-4-(2-propenyl)benzene;InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3,5-8H,1,4H2,2H3;Benzenoids
HMDB0030837;Anethole;InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3-;Benzenoids
HMDB0030060;Methyl 3-phenylpropanoate;InChI=1S/C10H12O2/c1-12-10(11)8-7-9-5-3-2-4-6-9/h2-6H,7-8H2,1H3;Fatty Acyls
HMDB0029223;alpha-Methylphenylalanine;InChI=1S/C10H13NO2/c1-10(11,9(12)13)7-8-5-3-2-4-6-8/h2-6H,7,11H2,1H3,(H,12,13);Phenylpropanoids and polyketides
HMDB0029224;N-methylphenylalanine;InChI=1S/C10H13NO2/c1-11-9(10(12)13)7-8-5-3-2-4-6-8/h2-6,9,11H,7H2,1H3,(H,12,13);Organic acids and derivatives
HMDB0059832;4-Ethyl-o-xylene;InChI=1S/C10H14/c1-4-10-6-5-8(2)9(3)7-10/h5-7H,4H2,1-3H3;Benzenoids
HMDB0037051;1-Isopropyl-3-methylbenzene;InChI=1S/C10H14/c1-8(2)10-6-4-5-9(3)7-10/h4-8H,1-3H3;Benzenoids
HMDB0037013;p-Mentha-1,3,8-triene;InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4,6H,1,5,7H2,2-3H3;Prenol lipids
HMDB0037050;1-Isopropyl-2-methylbenzene;InChI=1S/C10H14/c1-8(2)10-7-5-4-6-9(10)3/h4-8H,1-3H3;Benzenoids
