hmdb_id;inchi;cid;canonical_smiles;smiles_from_scaffold;smiles_from_generic_scaffold
HMDB0031619;InChI=1S/C10H10O/c1-2-9(8-11)10-6-4-3-5-7-10/h2-8H,1H3/b9-2-;6429333;CC=C(C=O)C1=CC=CC=C1;c1ccccc1;CCC(CC)C1CCCCC1
HMDB0240317;InChI=1S/C10H11NO3/c12-7-11-9(10(13)14)6-8-4-2-1-3-5-8/h1-5,7,9H,6H2,(H,11,12)(H,13,14)/t9-/m0/s1;759256;C1=CC=C(C=C1)CC(C(=O)O)NC=O;c1ccccc1;CCCC(CC1CCCCC1)C(C)C
HMDB0029641;InChI=1S/C10H12/c1-8(2)10-6-4-9(3)5-7-10/h4-7H,1H2,2-3H3;62385;CC1=CC=C(C=C1)C(=C)C;c1ccccc1;CC1CCC(C(C)C)CC1
HMDB0012819;InChI=1S/C10H12N2O4/c11-7-2-1-5(13)3-6(7)9(14)4-8(12)10(15)16/h1-3,8,13H,4,11-12H2,(H,15,16);440745;C1=CC(=C(C=C1O)C(=O)CC(C(=O)O)N)N;c1ccccc1;CC1CCC(C)C(C(C)CC(C)C(C)C)C1
HMDB0011629;InChI=1S/C10H12N5O7P/c11-10-13-7-4(8(17)14-10)12-2-15(7)9-6-5(3(1-16)20-9)21-23(18,19)22-6/h2-3,5-6,9,16H,1H2,(H,18,19)(H3,11,13,14,17)/t3-,5-,6-,9-/m1/s1;135398728;C1=NC2=C(N1C3C4C(C(O3)CO)OP(=O)(O4)O)N=C(NC2=O)N;O=c1[nH]cnc2c1ncn2C1OCC2O[PH](=O)OC21;CCC1CC(C2CCC3C(C)CC(C)CC32)C2CC(C)(C)CC12
HMDB0034121;InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3,5-8H,1,4H2,2H3;8815;COC1=CC=C(C=C1)CC=C;c1ccccc1;CCCC1CCC(CC)CC1
HMDB0030837;InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3-;1549040;CC=CC1=CC=C(C=C1)OC;c1ccccc1;CCCC1CCC(CC)CC1
HMDB0030060;InChI=1S/C10H12O2/c1-12-10(11)8-7-9-5-3-2-4-6-9/h2-6H,7-8H2,1H3;7643;COC(=O)CCC1=CC=CC=C1;c1ccccc1;CCC(C)CCC1CCCCC1
HMDB0029223;InChI=1S/C10H13NO2/c1-10(11,9(12)13)7-8-5-3-2-4-6-8/h2-6H,7,11H2,1H3,(H,12,13);108055;CC(CC1=CC=CC=C1)(C(=O)O)N;c1ccccc1;CC(C)C(C)(C)CC1CCCCC1
HMDB0029224;InChI=1S/C10H13NO2/c1-11-9(10(12)13)7-8-5-3-2-4-6-8/h2-6,9,11H,7H2,1H3,(H,12,13);4657542;CNC(CC1=CC=CC=C1)C(=O)O;c1ccccc1;CCC(CC1CCCCC1)C(C)C
HMDB0059832;InChI=1S/C10H14/c1-4-10-6-5-8(2)9(3)7-10/h5-7H,4H2,1-3H3;13629;CCC1=CC(=C(C=C1)C)C;c1ccccc1;CCC1CCC(C)C(C)C1
HMDB0037051;InChI=1S/C10H14/c1-8(2)10-6-4-5-9(3)7-10/h4-8H,1-3H3;10812;CC1=CC(=CC=C1)C(C)C;c1ccccc1;CC1CCCC(C(C)C)C1
HMDB0037013;InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4,6H,1,5,7H2,2-3H3;176983;CC1=CC=C(CC1)C(=C)C;C1=CCCC=C1;CC1CCC(C(C)C)CC1
HMDB0037050;InChI=1S/C10H14/c1-8(2)10-7-5-4-6-9(10)3/h4-8H,1-3H3;10703;CC1=CC=CC=C1C(C)C;c1ccccc1;CC(C)C1CCCCC1C
HMDB0000905;InChI=1S/C10H14N5O6P/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(21-7)2-20-22(17,18)19/h3-7,16H,1-2H2,(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1;12599;C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O;c1ncc2ncn(C3CCCO3)c2n1;CC1CC(C2CCC3C(C)CCCC32)CC1CCC(C)(C)C
HMDB0032063;InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3;7393;CC(C)(C)C1=CC=C(C=C1)O;c1ccccc1;CC1CCC(C(C)(C)C)CC1
HMDB0035770;InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3;10364;CC1=C(C=C(C=C1)C(C)C)O;c1ccccc1;CC(C)C1CCC(C)C(C)C1
HMDB0062720;InChI=1S/C10H14O4S/c1-7(2)9-5-4-8(3)6-10(9)14-15(11,12)13/h4-7H,1-3H3,(H,11,12,13);12456386;CC1=CC(=C(C=C1)C(C)C)OS(=O)(=O)O;c1ccccc1;CC1CCC(C(C)C)C(CC(C)(C)C)C1
HMDB0001227;InChI=1S/C10H15N2O8P/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(20-8)4-19-21(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,11,14,15)(H2,16,17,18)/t6-,7+,8+/m0/s1;9700;CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)O)O;O=c1ccn(C2CCCO2)c(=O)[nH]1;CC1CC(C)C(C2CC(C)C(CCC(C)(C)C)C2)CC1C
HMDB0039229;InChI=1S/C10H15N3O5/c11-7(14)3-1-6(10(17)18)13-9(16)5-2-4-8(15)12-5/h5-6H,1-4H2,(H2,11,14)(H,12,15)(H,13,16)(H,17,18)/t5-,6-/m0/s1;11010621;C1CC(=O)NC1C(=O)NC(CCC(=O)N)C(=O)O;O=C1CCCN1;CC(C)CCC(CC(C)C1CCC(C)C1)C(C)C
HMDB0038169;InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3;31253;CC(=CCCC(=C)C=C)C;;CCC(C)CCCC(C)C
HMDB0035658;InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m0/s1;440968;CC1=CCC2CC1C2(C)C;C1=CC2CC(C1)C2;CC1CCC2CC1C2(C)C
HMDB0006525;InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m1/s1;82227;CC1=CCC2CC1C2(C)C;C1=CC2CC(C1)C2;CC1CCC2CC1C2(C)C
HMDB0036559;InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3/t8-,9-/m0/s1;440967;CC1(C2CCC(=C)C1C2)C;C=C1CCC2CC1C2;CC1CCC2CC1C2(C)C
HMDB0035619;InChI=1S/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3;26049;CC1=CCC2C(C1)C2(C)C;C1=CCC2CC2C1;CC1CCC2C(C1)C2(C)C
HMDB0059839;InChI=1S/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3;6616;CC1(C2CCC(C2)C1=C)C;C=C1CC2CCC1C2;CC1C2CCC(C2)C1(C)C
HMDB0036081;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8,10H,3,5,7H2,1-2H3;11142;CC(C)C1CCC(=C)C=C1;C=C1C=CCCC1;CC1CCC(C(C)C)CC1
HMDB0041634;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8,10H,3,5,7H2,1-2H3/t10-/m0/s1;442484;CC(C)C1CCC(=C)C=C1;C=C1C=CCCC1;CC1CCC(C(C)C)CC1
HMDB0041633;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8,10H,3,5,7H2,1-2H3/t10-/m1/s1;443161;CC(C)C1CCC(=C)C=C1;C=C1C=CCCC1;CC1CCC(C(C)C)CC1
HMDB0005806;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,7-8H,5-6H2,1-3H3;7461;CC1=CCC(=CC1)C(C)C;C1=CCC=CC1;CC1CCC(C(C)C)CC1
HMDB0035850;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3;7460;CC1=CCC(C=C1)C(C)C;C1=CCCC=C1;CC1CCC(C(C)C)CC1
HMDB0034970;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3/t10-/m0/s1;443160;CC1=CCC(C=C1)C(C)C;C1=CCCC=C1;CC1CCC(C(C)C)CC1
HMDB0035851;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3/t10-/m1/s1;442482;CC1=CCC(C=C1)C(C)C;C1=CCCC=C1;CC1CCC(C(C)C)CC1
HMDB0036994;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4H,5-7H2,1-3H3;11463;CC1=CCC(=C(C)C)CC1;C=C1CC=CCC1;CC1CCC(C(C)C)CC1
HMDB0094651;InChI=1S/C10H16N2O4/c1-5(2)8(10(15)16)12-9(14)6-3-4-7(13)11-6/h5-6,8H,3-4H2,1-2H3,(H,11,13)(H,12,14)(H,15,16)/t6-,8-/m0/s1;152416;CC(C)C(C(=O)O)NC(=O)C1CCC(=O)N1;O=C1CCCN1;CC1CCC(C(C)CC(C(C)C)C(C)C)C1
HMDB0041011;InChI=1S/C10H16O/c1-8-5-4-6-10(2,3)9(8)7-11/h7H,4-6H2,1-3H3;9895;CC1=C(C(CCC1)(C)C)C=O;C1=CCCCC1;CCC1C(C)CCCC1(C)C
HMDB0028805;InChI=1S/C10H17N3O4/c11-6(3-4-8(12)14)9(15)13-5-1-2-7(13)10(16)17/h6-7H,1-5,11H2,(H2,12,14)(H,16,17)/t6-,7-/m0/s1;11736661;C1CC(N(C1)C(=O)C(CCC(=O)N)N)C(=O)O;C1CCNC1;CC(C)CCC(C)C(C)C1CCCC1C(C)C
HMDB0061795;InChI=1S/C10H18/c1-5-10(4)8-6-7-9(2)3/h5,7,10H,1,6,8H2,2-4H3/t10-/m1/s1;10887985;CC(CCC=C(C)C)C=C;;CCC(C)CCCC(C)C
HMDB0028903;InChI=1S/C10H18N2O5/c1-3-5(2)8(11)9(15)12-6(10(16)17)4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17);14304554;CCC(C)C(C(=O)NC(CC(=O)O)C(=O)O)N;;CCC(C)C(C)C(C)CC(CC(C)C)C(C)C
HMDB0028757;InChI=1S/C10H18N2O5/c1-5(2)3-7(10(16)17)12-9(15)6(11)4-8(13)14/h5-7H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17);332962;CC(C)CC(C(=O)O)NC(=O)C(CC(=O)O)N;;CC(C)CC(C)C(C)CC(CC(C)C)C(C)C
HMDB0011172;InChI=1S/C10H18N2O5/c1-5(2)8(10(16)17)12-7(13)4-3-6(11)9(14)15/h5-6,8H,3-4,11H2,1-2H3,(H,12,13)(H,14,15)(H,16,17)/t6-,8-/m0/s1;7015683;CC(C)C(C(=O)O)NC(=O)CCC(C(=O)O)N;;CC(CCC(C)C(C)C)CC(C(C)C)C(C)C
HMDB0028832;InChI=1S/C10H18N2O5/c1-5(2)8(10(16)17)12-9(15)6(11)3-4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)/t6-,8-/m0/s1;6992567;CC(C)C(C(=O)O)NC(=O)C(CCC(=O)O)N;;CC(C)CCC(C)C(C)CC(C(C)C)C(C)C
HMDB0029126;InChI=1S/C10H18N2O5/c1-5(2)8(11)9(15)12-6(10(16)17)3-4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)/t6-,8-/m0/s1;7009623;CC(C)C(C(=O)NC(CCC(=O)O)C(=O)O)N;;CC(C)CCC(CC(C)C(C)C(C)C)C(C)C
HMDB0034367;InChI=1S/C10H18N2O5S/c1-18-5-4-7(10(16)17)12-8(13)3-2-6(11)9(14)15/h6-7H,2-5,11H2,1H3,(H,12,13)(H,14,15)(H,16,17)/t6-,7-/m0/s1;7009567;CSCCC(C(=O)O)NC(=O)CCC(C(=O)O)N;;CCCCC(CC(C)CCC(C)C(C)C)C(C)C
HMDB0028795;InChI=1S/C10H18N4O5/c11-5(1-3-7(12)15)9(17)14-6(10(18)19)2-4-8(13)16/h5-6H,1-4,11H2,(H2,12,15)(H2,13,16)(H,14,17)(H,18,19)/t5-,6-/m0/s1;7010588;C(CC(=O)N)C(C(=O)NC(CCC(=O)N)C(=O)O)N;;CC(C)CCC(C)C(C)CC(CCC(C)C)C(C)C
HMDB0036100;InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3;6549;CC(=CCCC(C)(C=C)O)C;;CCC(C)(C)CCCC(C)C
HMDB0036101;InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3/t10-/m1/s1;67179;CC(=CCCC(C)(C=C)O)C;;CCC(C)(C)CCCC(C)C
HMDB0035833;InChI=1S/C10H18O/c1-8(2)10(11)6-4-9(3)5-7-10/h4,8,11H,5-7H2,1-3H3;11230;CC1=CCC(CC1)(C(C)C)O;C1=CCCCC1;CC1CCC(C)(C(C)C)CC1
HMDB0004043;InChI=1S/C10H18O/c1-8-4-6-9(7-5-8)10(2,3)11/h4,9,11H,5-7H2,1-3H3/t9-/m0/s1;442501;CC1=CCC(CC1)C(C)(C)O;C1=CCCCC1;CC1CCC(C(C)(C)C)CC1
HMDB0005812;InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-;643820;CC(=CCCC(=CCO)C)C;;CCCC(C)CCCC(C)C
HMDB0040726;InChI=1S/C10H18O2/c1-5-10(4)7-6-8(12-10)9(2,3)11/h5,8,11H,1,6-7H2,2-4H3/t8-,10-/m1/s1;6428573;CC1(CCC(O1)C(C)(C)O)C=C;C1CCOC1;CCC1(C)CCC(C(C)(C)C)C1
HMDB0028734;InChI=1S/C10H19N3O4/c1-3-5(2)8(10(16)17)13-9(15)6(11)4-7(12)14/h5-6,8H,3-4,11H2,1-2H3,(H2,12,14)(H,13,15)(H,16,17)/t5-,6-,8-/m0/s1;56991460;CCC(C)C(C(=O)O)NC(=O)C(CC(=O)N)N;;CCC(C)C(CC(C)C(C)CC(C)C)C(C)C
HMDB0028902;InChI=1S/C10H19N3O4/c1-3-5(2)8(12)9(15)13-6(10(16)17)4-7(11)14/h5-6,8H,3-4,12H2,1-2H3,(H2,11,14)(H,13,15)(H,16,17);4414300;CCC(C)C(C(=O)NC(CC(=O)N)C(=O)O)N;;CCC(C)C(C)C(C)CC(CC(C)C)C(C)C
HMDB0028924;InChI=1S/C10H19N3O4/c1-5(2)3-6(11)9(15)13-7(10(16)17)4-8(12)14/h5-7H,3-4,11H2,1-2H3,(H2,12,14)(H,13,15)(H,16,17);4128305;CC(C)CC(C(=O)NC(CC(=O)N)C(=O)O)N;;CC(C)CC(C)C(C)CC(CC(C)C)C(C)C
HMDB0028735;InChI=1S/C10H19N3O4/c1-5(2)3-7(10(16)17)13-9(15)6(11)4-8(12)14/h5-7H,3-4,11H2,1-2H3,(H2,12,14)(H,13,15)(H,16,17);18218182;CC(C)CC(C(=O)O)NC(=O)C(CC(=O)N)N;;CC(C)CC(C)C(C)CC(CC(C)C)C(C)C
HMDB0029125;InChI=1S/C10H19N3O4/c1-5(2)8(12)9(15)13-6(10(16)17)3-4-7(11)14/h5-6,8H,3-4,12H2,1-2H3,(H2,11,14)(H,13,15)(H,16,17)/t6-,8-/m0/s1;7016045;CC(C)C(C(=O)NC(CCC(=O)N)C(=O)O)N;;CC(C)CCC(CC(C)C(C)C(C)C)C(C)C
HMDB0004987;InChI=1S/C10H19N3O5/c11-4-2-1-3-7(10(17)18)13-9(16)6(12)5-8(14)15/h6-7H,1-5,11-12H2,(H,13,16)(H,14,15)(H,17,18)/t6-,7-/m0/s1;6427003;C(CCN)CC(C(=O)O)NC(=O)C(CC(=O)O)N;;CCCCCC(CC(C)C(C)CC(C)C)C(C)C
HMDB0094652;InChI=1S/C10H20/c1-5-10(4)8-6-7-9(2)3/h5,9H,6-8H2,1-4H3/b10-5+;5352959;CC=C(C)CCCC(C)C;;CCC(C)CCCC(C)C
HMDB0029140;InChI=1S/C10H20N2O3/c1-5(2)7(11)9(13)12-8(6(3)4)10(14)15/h5-8H,11H2,1-4H3,(H,12,13)(H,14,15)/t7-,8-/m0/s1;107475;CC(C)C(C(=O)NC(C(C)C)C(=O)O)N;;CC(C)C(C)C(C)CC(C(C)C)C(C)C
HMDB0028986;InChI=1S/C10H20N2O3S/c1-6(2)8(10(14)15)12-9(13)7(11)4-5-16-3/h6-8H,4-5,11H2,1-3H3,(H,12,13)(H,14,15);23274411;CC(C)C(C(=O)O)NC(=O)C(CCSC)N;;CCCCC(C)C(C)CC(C(C)C)C(C)C
HMDB0029133;InChI=1S/C10H20N2O3S/c1-6(2)8(11)9(13)12-7(10(14)15)4-5-16-3/h6-8H,4-5,11H2,1-3H3,(H,12,13)(H,14,15)/t7-,8-/m0/s1;6993039;CC(C)C(C(=O)NC(CCSC)C(=O)O)N;;CCCCC(CC(C)C(C)C(C)C)C(C)C
HMDB0028917;InChI=1S/C10H20N2O4/c1-4-5(2)7(11)9(14)12-8(6(3)13)10(15)16/h5-8,13H,4,11H2,1-3H3,(H,12,14)(H,15,16);18218220;CCC(C)C(C(=O)NC(C(C)O)C(=O)O)N;;CCC(C)C(C)C(C)CC(C(C)C)C(C)C
HMDB0029064;InChI=1S/C10H20N2O4/c1-4-5(2)8(10(15)16)12-9(14)7(11)6(3)13/h5-8,13H,4,11H2,1-3H3,(H,12,14)(H,15,16)/t5-,6+,7-,8-/m0/s1;57281443;CCC(C)C(C(=O)O)NC(=O)C(C(C)O)N;;CCC(C)C(CC(C)C(C)C(C)C)C(C)C
HMDB0029065;InChI=1S/C10H20N2O4/c1-5(2)4-7(10(15)16)12-9(14)8(11)6(3)13/h5-8,13H,4,11H2,1-3H3,(H,12,14)(H,15,16)/t6-,7+,8+/m1/s1;7021828;CC(C)CC(C(=O)O)NC(=O)C(C(C)O)N;;CC(C)CC(CC(C)C(C)C(C)C)C(C)C
HMDB0028939;InChI=1S/C10H20N2O4/c1-5(2)4-7(11)9(14)12-8(6(3)13)10(15)16/h5-8,13H,4,11H2,1-3H3,(H,12,14)(H,15,16);18218222;CC(C)CC(C(=O)NC(C(C)O)C(=O)O)N;;CC(C)CC(C)C(C)CC(C(C)C)C(C)C
HMDB0031409;InChI=1S/C10H20O/c1-3-4-5-6-7-8-9-10(2)11/h3-9H2,1-2H3;12741;CCCCCCCCC(=O)C;;CCCCCCCCC(C)C
HMDB0035765;InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3;1254;CC1CCC(C(C1)O)C(C)C;C1CCCCC1;CC1CCC(C(C)C)C(C)C1
HMDB0037020;InChI=1S/C10H20O/c1-8(2)9-4-6-10(3,11)7-5-9/h8-9,11H,4-7H2,1-3H3;89437;CC(C)C1CCC(CC1)(C)O;C1CCCCC1;CC(C)C1CCC(C)(C)CC1
HMDB0035094;InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3/t10-/m0/s1;7793;CC(CCC=C(C)C)CCO;;CCCC(C)CCCC(C)C
HMDB0035093;InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3/t10-/m1/s1;101977;CC(CCC=C(C)C)CCO;;CCCC(C)CCCC(C)C
HMDB0038602;InChI=1S/C10H20O2/c1-3-4-5-6-7-8-9-12-10(2)11/h3-9H2,1-2H3;8164;CCCCCCCCOC(=O)C;;CCCCCCCCCC(C)C
HMDB0033620;InChI=1S/C10H20O2/c1-3-5-6-7-9-12-10(11)8-4-2/h3-9H2,1-2H3;17525;CCCCCCOC(=O)CCC;;CCCCCCCC(C)CCC
HMDB0040211;InChI=1S/C10H20O2/c1-3-5-7-8-10(11)12-9-6-4-2/h3-9H2,1-2H3;12294;CCCCCC(=O)OCCCC;;CCCCCC(C)CCCCC
HMDB0036228;InChI=1S/C10H20O2/c1-4-5-6-7-10(11)12-8-9(2)3/h9H,4-8H2,1-3H3;7775;CCCCCC(=O)OCC(C)C;;CCCCCC(C)CCC(C)C
HMDB0032045;InChI=1S/C10H20O2/c1-4-5-6-7-12-10(11)8-9(2)3/h9H,4-8H2,1-3H3;95978;CCCCCOC(=O)CC(C)C;;CCCCCCC(C)CC(C)C
HMDB0094654;InChI=1S/C10H20O2/c1-4-5-6-7-8-10(11)12-9(2)3/h9H,4-8H2,1-3H3;520710;CCCCCCC(=O)OC(C)C;;CCCCCCC(C)CC(C)C
HMDB0094656;InChI=1S/C10H20O3/c1-2-3-4-5-6-7-8-9(11)10(12)13/h9,11H,2-8H2,1H3,(H,12,13)/t9-/m0/s1;5312797;CCCCCCCCC(C(=O)O)O;;CCCCCCCCC(C)C(C)C
HMDB0031450;InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3;15600;CCCCCCCCCC;;CCCCCCCCCC
HMDB0011624;InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3;8174;CCCCCCCCCCO;;CCCCCCCCCCC
HMDB0029751;InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H;931;C1=CC=C2C=CC=CC2=C1;c1ccc2ccccc2c1;C1CCC2CCCCC2C1
HMDB0001190;InChI=1S/C10H9NO/c12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,6-7,11H,5H2;800;C1=CC=C2C(=C1)C(=CN2)CC=O;c1ccc2[nH]ccc2c1;CCCC1CCC2CCCCC12
HMDB0035514;InChI=1S/C10H9NO3/c12-9(13)5-7-6-3-1-2-4-8(6)11-10(7)14/h1-4,7H,5H2,(H,11,14)(H,12,13);3080590;C1=CC=C2C(=C1)C(C(=O)N2)CC(=O)O;O=C1Cc2ccccc2N1;CC(C)CC1C(C)CC2CCCCC21
HMDB0000978;InChI=1S/C10H9NO4/c11-7-4-2-1-3-6(7)8(12)5-9(13)10(14)15/h1-4H,5,11H2,(H,14,15);472;C1=CC=C(C(=C1)C(=O)CC(=O)C(=O)O)N;c1ccccc1;CC(C)C(C)CC(C)C1CCCCC1C
HMDB0004083;InChI=1S/C10H9NO5/c11-9-5(2-1-3-6(9)12)7(13)4-8(14)10(15)16/h1-3,12H,4,11H2,(H,15,16);440741;C1=CC(=C(C(=C1)O)N)C(=O)CC(=O)C(=O)O;c1ccccc1;CC(C)C(C)CC(C)C1CCCC(C)C1C
HMDB0004096;InChI=1S/C11H11NO3/c1-15-8-2-3-10-9(5-8)7(6-12-10)4-11(13)14/h2-3,5-6,12H,4H2,1H3,(H,13,14);18986;COC1=CC2=C(C=C1)NC=C2CC(=O)O;c1ccc2[nH]ccc2c1;CCC1CCC2CCC(CC(C)C)C2C1
HMDB0006809;InChI=1S/C11H13NO6/c13-5-7-8(14)9(15)10(18-7)12-3-1-2-6(4-12)11(16)17/h1-4,7-10,13-15H,5H2/p+1/t7-,8-,9-,10-/m1/s1;161234;C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)O;c1cc[n+](C2CCCO2)cc1;CCC1CC(C2CCCC(C(C)C)C2)C(C)C1C
HMDB0028848;InChI=1S/C11H14N2O3/c12-7-10(14)13-9(11(15)16)6-8-4-2-1-3-5-8/h1-5,9H,6-7,12H2,(H,13,14)(H,15,16);97415;C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CN;c1ccccc1;CCC(C)CC(CC1CCCCC1)C(C)C
HMDB0028995;InChI=1S/C11H14N2O3/c12-9(11(16)13-7-10(14)15)6-8-4-2-1-3-5-8/h1-5,9H,6-7,12H2,(H,13,16)(H,14,15)/t9-/m0/s1;6992304;C1=CC=C(C=C1)CC(C(=O)NCC(=O)O)N;c1ccccc1;CC(C)CCC(C)C(C)CC1CCCCC1
HMDB0028853;InChI=1S/C11H14N2O4/c12-6-10(15)13-9(11(16)17)5-7-1-3-8(14)4-2-7/h1-4,9,14H,5-6,12H2,(H,13,15)(H,16,17)/t9-/m0/s1;92829;C1=CC(=CC=C1CC(C(=O)O)NC(=O)CN)O;c1ccccc1;CCC(C)CC(CC1CCC(C)CC1)C(C)C
HMDB0000855;InChI=1S/C11H14N2O5/c12-10(17)6-2-1-3-13(4-6)11-9(16)8(15)7(5-14)18-11/h1-4,7-9,11,14-16H,5H2,(H-,12,17)/p+1/t7-,8-,9-,11-/m1/s1;439924;C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N;c1cc[n+](C2CCCO2)cc1;CCC1CC(C2CCCC(C(C)C)C2)C(C)C1C
