cid;protacxn;my_activity
8815;NP_065390;Inactive
8815;Q61831;Inactive
8815;2HDS_A;Inactive
8815;P0AF67;Inactive
8815;AAI14949;Inactive
8815;2O23_A;Inactive
8815;2O23_B;Inactive
8815;1OQA_A;Inactive
8815;O15296;Inactive
8815;NP_059488;Inactive
8815;AAC39835;Inactive
8815;NP_002060;Inactive
8815;NP_000851;Inactive
8815;NP_000537;Inactive
8815;NP_150634;Inactive
8815;P55210;Inactive
8815;NP_652928;Inactive
8815;NP_000509;Inactive
8815;NP_004196;Inactive
8815;AAR07906;Inactive
8815;NP_000947;Inactive
8815;NP_002736;Inactive
8815;AAP35567;Inactive
8815;BAA05005;Inactive
8815;P97697;Inactive
8815;NP_059107;Inactive
8815;NP_002102;Inactive
8815;NP_001121649;Inactive
8815;CAA29232;Inactive
8815;3I06_A;Inactive
8815;AAG24257;Inactive
8815;NP_005924;Inactive
8815;NP_000235;Inactive
8815;ABC47431;Inactive
8815;CAI16307;Inactive
8815;AAH32261;Inactive
8815;CAD53427;Inactive
8815;XP_717710;Inactive
8815;NP_004823;Inactive
8815;AAH00750;Inactive
8815;CAA81943;Inactive
8815;CAA84846;Inactive
8815;CAA96025;Inactive
8815;NP_032426;Inactive
8815;AAI07736;Inactive
8815;AAA34498;Inactive
8815;NP_009905;Inactive
8815;BAA02545;Inactive
8815;NP_000143;Inactive
8815;AAP88778;Inactive
8815;CAA80661;Inactive
8815;NP_006321;Inactive
8815;NP_057231;Inactive
8815;2W2I_A;Inactive
8815;CAB40158;Inactive
8815;YP_401673;Inactive
8815;NP_001008709;Inactive
8815;NP_492143;Inactive
8815;BAH02301;Inactive
8815;NP_000907;Inactive
8815;2ISV_A;Inactive
8815;NP_002037;Inactive
8815;2VM6_A;Inactive
8815;NP_619527;Inactive
8815;NP_005152;Inactive
8815;NP_660205;Inactive
8815;NP_000048;Inactive
8815;AAI32679;Inactive
8815;2WWY_A;Inactive
8815;NP_035411;Inactive
8815;NP_000876;Inactive
8815;NP_218188;Inactive
8815;AAF04852;Inactive
8815;YP_001129431;Inactive
8815;NP_063937;Inactive
8815;NP_112168;Inactive
8815;NP_067647;Inactive
8815;NP_003874;Inactive
8815;NP_001612;Inactive
8815;AAI51237;Inactive
8815;NP_001074551;Inactive
8815;NP_000697;Inactive
8815;AAI43360;Inactive
8815;NP_004960;Inactive
8815;AAI29989;Inactive
8815;NP_001516;Inactive
8815;NP_207880;Inactive
8815;NP_208344;Inactive
8815;1DE9_A;Inactive
8815;NP_001161829;Inactive
8815;NP_004337;Inactive
8815;DAA06693;Inactive
8815;DAA10558;Inactive
8815;CAI12638;Inactive
8815;NP_003339;Inactive
8815;NP_036519;Inactive
8815;3F32_A;Inactive
8815;1JY1_A;Inactive
8815;NP_004242;Inactive
8815;NP_000262;Inactive
8815;NP_000786;Inactive
8815;NP_002384;Inactive
8815;NP_002383;Inactive
8815;NP_000042;Inactive
8815;NP_828849;Inactive
8815;NP_056293;Inactive
8815;AAK85233;Inactive
8815;XP_843920;Inactive
8815;NP_005235;Inactive
8815;AAH26347;Inactive
8815;CAG33322;Inactive
8815;NP_001610;Inactive
8815;NP_418280;Inactive
8815;NP_058021;Inactive
8815;AAH65243;Inactive
8815;YP_002440506;Inactive
8815;NP_068587;Inactive
8815;AAI36532;Inactive
8815;NP_000015;Inactive
8815;NP_000428;Inactive
8815;NP_001171675;Inactive
8815;NP_006283;Inactive
8815;NP_001139412;Inactive
8815;NP_001001431;Inactive
8815;NP_003271;Inactive
8815;CAA46986;Inactive
8815;NP_000354;Inactive
8815;NP_663745;Inactive
8815;NP_068594;Inactive
8815;NP_003292;Inactive
8815;NP_002522;Inactive
8815;NP_067021;Inactive
8815;NP_004358;Inactive
8815;NP_079406;Inactive
8815;NP_032062;Inactive
8815;NP_066564;Inactive
8815;NP_000902;Inactive
8815;NP_000905;Inactive
8815;ACP44172;Inactive
8815;CAQ07474;Inactive
8815;BAA89212;Inactive
8815;2QQS_A;Inactive
8815;NP_218326;Inactive
8815;NP_631918;Inactive
8815;NP_065132;Inactive
8815;NP_000483;Inactive
8815;ADQ57959;Inactive
8815;NP_036923;Inactive
8815;NP_001138884;Inactive
8815;NP_037457;Inactive
8815;AAH15051;Inactive
