hmdb_id;inchi;cid;bioactivity
HMDB0031619;InChI=1S/C10H10O/c1-2-9(8-11)10-6-4-3-5-7-10/h2-8H,1H3/b9-2-;6429333;no
HMDB0240317;InChI=1S/C10H11NO3/c12-7-11-9(10(13)14)6-8-4-2-1-3-5-8/h1-5,7,9H,6H2,(H,11,12)(H,13,14)/t9-/m0/s1;759256;no
HMDB0029641;InChI=1S/C10H12/c1-8(2)10-6-4-9(3)5-7-10/h4-7H,1H2,2-3H3;62385;yes
HMDB0012819;InChI=1S/C10H12N2O4/c11-7-2-1-5(13)3-6(7)9(14)4-8(12)10(15)16/h1-3,8,13H,4,11-12H2,(H,15,16);440745;no
HMDB0011629;InChI=1S/C10H12N5O7P/c11-10-13-7-4(8(17)14-10)12-2-15(7)9-6-5(3(1-16)20-9)21-23(18,19)22-6/h2-3,5-6,9,16H,1H2,(H,18,19)(H3,11,13,14,17)/t3-,5-,6-,9-/m1/s1;135398728;no
HMDB0034121;InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3,5-8H,1,4H2,2H3;8815;yes
HMDB0030837;InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3-;1549040;no
HMDB0030060;InChI=1S/C10H12O2/c1-12-10(11)8-7-9-5-3-2-4-6-9/h2-6H,7-8H2,1H3;7643;yes
HMDB0029223;InChI=1S/C10H13NO2/c1-10(11,9(12)13)7-8-5-3-2-4-6-8/h2-6H,7,11H2,1H3,(H,12,13);108055;no
HMDB0029224;InChI=1S/C10H13NO2/c1-11-9(10(12)13)7-8-5-3-2-4-6-8/h2-6,9,11H,7H2,1H3,(H,12,13);4657542;no
HMDB0059832;InChI=1S/C10H14/c1-4-10-6-5-8(2)9(3)7-10/h5-7H,4H2,1-3H3;13629;yes
HMDB0037051;InChI=1S/C10H14/c1-8(2)10-6-4-5-9(3)7-10/h4-8H,1-3H3;10812;yes
HMDB0037013;InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4,6H,1,5,7H2,2-3H3;176983;no
HMDB0037050;InChI=1S/C10H14/c1-8(2)10-7-5-4-6-9(10)3/h4-8H,1-3H3;10703;yes
HMDB0000905;InChI=1S/C10H14N5O6P/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(21-7)2-20-22(17,18)19/h3-7,16H,1-2H2,(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1;12599;yes
HMDB0032063;InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3;7393;yes
HMDB0035770;InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3;10364;yes
