SMILES CID
CC=C(C=O)C1=CC=CC=C1 6429333
C1=CC=C(C=C1)CC(C(=O)O)NC=O 759256
CC1=CC=C(C=C1)C(=C)C 62385
C1=CC(=C(C=C1O)C(=O)CC(C(=O)O)N)N 440745
C1=NC2=C(N1C3C4C(C(O3)CO)OP(=O)(O4)O)N=C(NC2=O)N 135398728
COC1=CC=C(C=C1)CC=C 8815
CC=CC1=CC=C(C=C1)OC 1549040
COC(=O)CCC1=CC=CC=C1 7643
CC(CC1=CC=CC=C1)(C(=O)O)N 108055
CNC(CC1=CC=CC=C1)C(=O)O 4657542
CCC1=CC(=C(C=C1)C)C 13629
CC1=CC(=CC=C1)C(C)C 10812
CC1=CC=C(CC1)C(=C)C 176983
CC1=CC=CC=C1C(C)C 10703
C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O 12599
CC(C)(C)C1=CC=C(C=C1)O 7393
CC1=C(C=C(C=C1)C(C)C)O 10364
CC1=CC(=C(C=C1)C(C)C)OS(=O)(=O)O 12456386
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)O)O 9700
C1CC(=O)NC1C(=O)NC(CCC(=O)N)C(=O)O 11010621
CC(=CCCC(=C)C=C)C 31253
CC1=CCC2CC1C2(C)C 440968
CC1=CCC2CC1C2(C)C 82227
CC1(C2CCC(=C)C1C2)C 440967
CC1=CCC2C(C1)C2(C)C 26049
CC1(C2CCC(C2)C1=C)C 6616
CC(C)C1CCC(=C)C=C1 11142
CC(C)C1CCC(=C)C=C1 442484
CC(C)C1CCC(=C)C=C1 443161
CC1=CCC(=CC1)C(C)C 7461
CC1=CCC(C=C1)C(C)C 7460
CC1=CCC(C=C1)C(C)C 443160
CC1=CCC(C=C1)C(C)C 442482
CC1=CCC(=C(C)C)CC1 11463
CC(C)C(C(=O)O)NC(=O)C1CCC(=O)N1 152416
CC1=C(C(CCC1)(C)C)C=O 9895
C1CC(N(C1)C(=O)C(CCC(=O)N)N)C(=O)O 11736661
CC(CCC=C(C)C)C=C 10887985
CCC(C)C(C(=O)NC(CC(=O)O)C(=O)O)N 14304554
CC(C)CC(C(=O)O)NC(=O)C(CC(=O)O)N 332962
CC(C)C(C(=O)O)NC(=O)CCC(C(=O)O)N 7015683
CC(C)C(C(=O)O)NC(=O)C(CCC(=O)O)N 6992567
CC(C)C(C(=O)NC(CCC(=O)O)C(=O)O)N 7009623
CSCCC(C(=O)O)NC(=O)CCC(C(=O)O)N 7009567
C(CC(=O)N)C(C(=O)NC(CCC(=O)N)C(=O)O)N 7010588
CC(=CCCC(C)(C=C)O)C 6549
